fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.031027644931762507,other,21.246617969991103,0.302389705882353,0.999692484965,0.10680543653500019,0.1935483870967742,12,actual,79,actual,0.6453900709219859,2,1,2,1,1,0,0,67458,330,108837,2092268,235,1853,993,48,0.58,141,91,12,0.676923076923,168,768205,304657,255008,2021-04-30,https://covidactnow.org/us/alaska-ak,0.4164569507002303,0.3485882618294158,0,550524
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.07276523554743572,other,7.179007114763159,0.22954545454545455,1.0443100116500001,0.09999999999999987,0.27702702702702703,123,actual,1186,actual,0.8030674846625767,1,1,1,1,1,0,2,524948,10887,526716,3848165,404,19167,11472,445,0.6,1630,1309,123,0.7,430,4042070,1579093,1121348,2021-04-30,https://covidactnow.org/us/alabama-al,0.3220545420986563,0.22869787699219996,8,2559938
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.02555129434324065,other,6.1870911999018405,0.8462127008416219,1.0293089958600001,0.10378729676999976,0.12430939226519337,45,actual,634,actual,0.6817269076305221,1,0,1,1,1,0,0,335529,5735,232413,2462302,790,13284,6644,190,0.55,996,679,45,0.61,240,2628460,1067532,754913,2021-04-30,https://covidactnow.org/us/arkansas-ar,0.35374464345596995,0.2501530914532554,9,1772085
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.04809882305422478,other,10.209805617430339,0.10657439446366783,1.02871343058,0.09999999999999987,0.10871302957633892,136,actual,1003,actual,0.5053238686779059,2,1,2,1,1,0,0,860312,17305,861809,6460348,396,18286,11919,596,0.6,2254,1139,136,0.829018663456,881,6536895,2943500,2078095,2021-04-30,https://covidactnow.org/us/arizona-az,0.40439819270346683,0.2855029258590491,23,5024348
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.013133798578000226,other,4.297042823576752,1.2486327303323517,0.846126014942,0.10000000000000009,0.16185199841709538,409,actual,4484,actual,0.6979032948224219,1,0,1,0,0,0,0,3739598,61647,3693180,46586527,10600,99574,48146,2099,0.6,7011,4893,409,0.59,1378,38562350,19054735,11796688,2021-04-30,https://covidactnow.org/us/california-ca,0.48224912579583284,0.2985579424372048,82,29957450
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.05634273207890399,other,30.763199225861868,0.14676235787436498,1.0496528373799998,0.10000000000000009,0.3609671848013817,209,actual,715,actual,0.714064914992272,3,1,3,1,1,0,1,511914,6422,489165,6672206,1300,13464,8694,664,0.63,1294,924,209,0.8043135192,2984,5335910,2658086,1824323,2021-04-30,https://covidactnow.org/us/colorado-co,0.46157455386043045,0.31679226135735344,16,4388497
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.02753705311422912,other,18.892488278543315,0.25535524920466596,0.852442260284,0.09999999999999998,0.20300751879699247,108,actual,519,actual,0.5965746907706946,2,0,2,1,0,0,0,337623,8084,462748,8107595,860,8238,6819,528,0.68,1051,627,108,0.65,486,3832005,1937627,1350870,2021-04-30,https://covidactnow.org/us/connecticut-ct,0.5434701329794768,0.3788951632785803,4,3184543
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.020080739679645788,other,11.618861663282555,0.6536585365853659,0.8727429929639999,0.1466485058560002,0.2814814814814815,38,actual,221,actual,0.7275280898876404,2,0,2,1,0,0,1,47614,1105,66774,1741577,268,4623,2736,194,0.76,356,259,38,0.8289855072460001,81,827895,334206,206340,2021-04-30,https://covidactnow.org/us/district_of_columbia-dc,0.4735479611023182,0.29237023360996617,1,595665
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.05146642697826159,other,25.981654692512762,0.16679841897233202,0.8768145642540001,0.09999999999999998,0.42857142857142855,27,actual,131,actual,0.8144329896907216,3,1,3,1,0,0,2,104038,1624,119594,1828520,211,4052,2587,225,0.71,194,158,27,0.73,194,967025,450711,309366,2021-04-30,https://covidactnow.org/us/delaware-de,0.46285444933269254,0.31770120891715037,2,748392
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.08375730574528127,other,24.725935644762895,0.09791789960725239,0.949940473443,0.09999999999699993,0.3700604370060437,796,actual,4307,actual,0.790182719108083,2,1,2,2,1,0,1,2224334,35083,2702612,24665764,2600,76852,46725,3842,0.76,6458,5103,796,0.76,5666,20311695,8879732,6136199,2021-04-30,https://covidactnow.org/us/florida-fl,0.413438901873135,0.2857004441389705,54,15013785
